viewRadius,seed,condition,postFreezeSteps,meanLoss,slopeLoss
2,1001,control,38,1.9378947050947892,0.0061496995003847725
2,1001,intervention,38,1.8443064721007096,0.007996090432332032
2,1002,control,38,3.198808927285044,0.07035753632781411
2,1002,intervention,38,3.2024029869782296,0.06988751790445002
2,1003,control,38,1.7789287347542613,-0.0014247969551098951
2,1003,intervention,38,1.7789287347542613,-0.0014247969551098951
4,1001,control,38,1.6098622648339522,-0.0031162753304997946
4,1001,intervention,38,1.5960371525664079,-0.0034808001850611114
4,1002,control,38,3.392951017931888,0.06719246752244638
4,1002,intervention,38,3.2790256424954065,0.06598156533417106
4,1003,control,38,1.7789287347542613,-0.0014247969551098951
4,1003,intervention,38,2.2060180682885018,0.01013134189528075
6,1001,control,38,1.6098622648339522,-0.0031162753304997946
6,1001,intervention,38,1.5960371525664079,-0.0034808001850611114
6,1002,control,38,3.5144862438503064,0.07938862929577405
6,1002,intervention,38,3.4709607111780265,0.07562029892616424
6,1003,control,38,3.0719875724692094,0.018190502246473086
6,1003,intervention,38,2.5617326654885946,0.027796791880484784
